categories,employmentTypes,metadata_expiryDate,metadata_isPostedOnBehalf,metadata_jobPostId,metadata_newPostingDate,metadata_originalPostingDate,metadata_repostCount,metadata_totalNumberJobApplication,metadata_totalNumberOfView,minimumYearsExperience,numberOfVacancies,occupationId,positionLevels,postedCompany_name,salary_maximum,salary_minimum,salary_type,status_id,status_jobStatus,title
"[{""id"":11,""category"":""Engineering""},{""id"":25,""category"":""Manufacturing""},{""id"":43,""category"":""Precision Engineering""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274134,8/4/2023,8/4/2023,0,6,48,0,1,,Fresh/entry level,CT SOLUTIONS (PTE. LTD.),2700,2500,Monthly,0,Closed,"Assistant Production Engineer (MNC / 5 Days / Up to $2,700 + AWS + Performance Bonus / Tuas / Island Wide Company Transport Provided / No Experience Required)"
"[{""id"":6,""category"":""Building and Construction""}]",Full Time,22/6/2023,FALSE,MCF-2023-0274126,23/5/2023,8/4/2023,1,51,491,5,1,,Senior Executive,3SI PTE. LTD.,4000,3500,Monthly,0,Closed,Purchasing Officer
"[{""id"":13,""category"":""Environment / Health""},{""id"":25,""category"":""Manufacturing""}]",Permanent,15/4/2023,FALSE,MCF-2023-0274078,8/4/2023,8/4/2023,0,5,44,3,1,,Executive,RECRUITPEDIA PTE. LTD.,7000,5000,Monthly,0,Closed,Work Safety Engineer (F&B Manufacturing MNC)
"[{""id"":15,""category"":""F&B""},{""id"":19,""category"":""Hospitality""}]",Full Time,8/5/2023,FALSE,MCF-2023-0121481,8/4/2023,14/2/2023,1,2,109,2,1,,Executive,CROWNE PLAZA CHANGI AIRPORT,3500,3000,Monthly,0,Closed,Junior Sous Chef (Cold Kitchen)
"[{""id"":5,""category"":""Banking and Finance""}]",Full Time,22/4/2023,FALSE,MCF-2023-0274118,8/4/2023,8/4/2023,0,22,178,4,1,,Professional,GIC PRIVATE LIMITED,13000,6500,Monthly,0,Closed,"AVP, Business Solutions Analytics (JR15037)"
"[{""id"":10,""category"":""Education and Training""}]",Contract,22/7/2023,FALSE,MCF-2023-0274360,22/6/2023,8/4/2023,2,5,113,3,2,,Professional,SUPERGENIUS PRESCHOOL HBB PTE. LTD.,3800,2600,Monthly,0,Re-open,Preschool Speech & Drama Teacher
"[{""id"":1,""category"":""Accounting / Auditing / Taxation""}]",Contract,29/4/2023,FALSE,MCF-2023-0274342,8/4/2023,8/4/2023,0,3,78,3,1,,Senior Executive,ADECCO PERSONNEL PTE LTD,7000,4000,Monthly,0,Closed,"Senior Accountant @ US MNC (Up to $7,000/ Payroll)"
"[{""id"":15,""category"":""F&B""}]",Part Time,8/5/2023,FALSE,MCF-2023-0274375,8/4/2023,8/4/2023,0,2,76,1,10,,Fresh/entry level,ZENSHO JAPANESE RESTAURANT COMPANY PTE. LTD.,2601,2000,Monthly,0,Closed,COMMIS COOK - SUKIYA PLAZA SINGAPURA (5 DAYS WORK)
"[{""id"":6,""category"":""Building and Construction""}]",Full Time,22/6/2023,FALSE,MCF-2023-0274132,23/5/2023,8/4/2023,1,4,158,3,2,,Senior Executive,3SI PTE. LTD.,3500,3000,Monthly,0,Closed,System Engineer
"[{""id"":8,""category"":""Customer Service""}]",Contract,8/5/2023,FALSE,MCF-2023-0274097,8/4/2023,8/4/2023,0,2,25,2,1,,Senior Executive,RECRUITPEDIA PTE. LTD.,4000,3000,Monthly,0,Closed,Senior Concierge (Shift hours)/ East
"[{""id"":29,""category"":""Professional Services""}]",Full Time,8/5/2023,FALSE,MCF-2023-0274345,8/4/2023,8/4/2023,0,0,118,0,3,,Fresh/entry level,AL HAQIM NETWORK,3000,2200,Monthly,0,Closed,Hairstylist / Barber / Hairdresser
"[{""id"":9,""category"":""Design""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274038,8/4/2023,8/4/2023,0,1,21,2,1,,Junior Executive,RECRUITPEDIA PTE. LTD.,8000,4000,Monthly,0,Closed,Analog Designer / Electrical MNC
"[{""id"":18,""category"":""Healthcare / Pharmaceutical""}]",Full Time,8/5/2023,FALSE,MCF-2023-0274367,8/4/2023,8/4/2023,0,5,100,0,1,,Fresh/entry level,ALS MEDICAL PTE. LTD.,2400,2000,Monthly,0,Closed,CLINIC  Assistant
"[{""id"":1,""category"":""Accounting / Auditing / Taxation""}]",Permanent,15/4/2023,FALSE,MCF-2023-0274109,8/4/2023,8/4/2023,0,3,86,3,1,,Senior Executive,RECRUITPEDIA PTE. LTD.,4000,3500,Monthly,0,Closed,Assistant Accountant / Oil and Gas MNC / North
"[{""id"":10,""category"":""Education and Training""}]",Permanent,23/7/2023,FALSE,MCF-2023-0274030,23/6/2023,8/4/2023,2,25,457,10,1,,Professional,EVERSAFE ACADEMY PTE. LTD.,10000,8000,Monthly,0,Re-open,Curriculum Developer
"[{""id"":2,""category"":""Admin / Secretarial""},{""id"":8,""category"":""Customer Service""},{""id"":23,""category"":""Legal""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274148,8/4/2023,8/4/2023,0,7,81,1,1,,Executive,IN.CORP CORPORATE SERVICES PTE. LTD.,5000,3000,Monthly,0,Closed,Share Registry Officer
"[{""id"":35,""category"":""Sales / Retail""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274050,8/4/2023,8/4/2023,0,0,29,1,1,,Fresh/entry level,RECRUITPEDIA PTE. LTD.,2200,1800,Monthly,0,Closed,Retail Associate (Basic + Commission)  - Health & Wellness MNC
"[{""id"":8,""category"":""Customer Service""},{""id"":18,""category"":""Healthcare / Pharmaceutical""},{""id"":39,""category"":""Telecommunications""}]",Permanent,15/4/2023,FALSE,MCF-2023-0274090,8/4/2023,8/4/2023,0,9,69,2,1,,Junior Executive,RECRUITPEDIA PTE. LTD.,3000,2500,Monthly,0,Closed,Call Centre Officer (Credit Control) - Healthcare MNC
"[{""id"":18,""category"":""Healthcare / Pharmaceutical""},{""id"":31,""category"":""Purchasing / Merchandising""}]",Permanent,8/6/2023,FALSE,MCF-2023-0274363,9/5/2023,8/4/2023,1,78,532,3,1,,Executive,THE LENTOR RESIDENCE PTE LTD,4500,3500,Monthly,0,Closed,Purchasing Executive (Nursing Home)
"[{""id"":8,""category"":""Customer Service""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274041,8/4/2023,8/4/2023,0,0,27,1,5,,Fresh/entry level,RECRUITPEDIA PTE. LTD.,2000,1700,Monthly,0,Closed,Customer Service Officer (Changi)
"[{""id"":7,""category"":""Consulting""},{""id"":21,""category"":""Information Technology""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274351,8/4/2023,8/4/2023,0,3,73,2,1,,Executive,PEOPLE PROFILERS PTE. LTD.,10000,6500,Monthly,0,Closed,SOFTWARE ENGINEER (C ++) [Leading Payment MNC]
"[{""id"":35,""category"":""Sales / Retail""}]",Full Time,8/5/2023,FALSE,MCF-2023-0274364,8/4/2023,8/4/2023,0,2,49,1,1,,Junior Executive,E.BANK.COM PTE. LTD.,3500,2200,Monthly,0,Closed,Retail Sales Manager (Medical Equipment)
"[{""id"":35,""category"":""Sales / Retail""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274045,8/4/2023,8/4/2023,0,0,21,2,1,,Executive,RECRUITPEDIA PTE. LTD.,3800,3000,Monthly,0,Closed,Outdoor Sales Engineer (Optics MNC)
"[{""id"":6,""category"":""Building and Construction""},{""id"":11,""category"":""Engineering""},{""id"":33,""category"":""Repair and Maintenance""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274358,8/4/2023,8/4/2023,0,22,163,2,1,,Non-executive,COSMOS RECRUIT PTE. LTD.,4500,3500,Monthly,0,Closed,Facilities Engineer (M&E)
"[{""id"":10,""category"":""Education and Training""}]",Contract,22/7/2023,FALSE,MCF-2023-0274359,22/6/2023,8/4/2023,2,7,121,0,5,,Professional,SUPERGENIUS PRESCHOOL HBB PTE. LTD.,4000,2600,Monthly,0,Re-open,Early Childhood Enrichment Specialists
"[{""id"":11,""category"":""Engineering""}]",Full Time,8/5/2023,FALSE,MCF-2023-0274374,8/4/2023,8/4/2023,0,0,76,2,5,,Non-executive,PING SIONG INTERNATIONAL PTE. LTD.,5000,2200,Monthly,0,Closed,Vehicle Mechanic
"[{""id"":3,""category"":""Advertising / Media""}]",Full Time,8/5/2023,FALSE,MCF-2023-0274336,8/4/2023,8/4/2023,0,1,35,0,5,,Fresh/entry level,GUTENHAG PRIVATE LIMITED,1800,1500,Monthly,0,Closed,Growth Hacker
"[{""id"":10,""category"":""Education and Training""}]",Contract,22/7/2023,FALSE,MCF-2023-0274361,22/6/2023,8/4/2023,2,10,184,3,2,,Professional,SUPERGENIUS PRESCHOOL HBB PTE. LTD.,3800,2600,Monthly,0,Re-open,Preschool Music Teacher
"[{""id"":15,""category"":""F&B""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274378,8/4/2023,8/4/2023,0,0,45,1,16,,Manager,ZENSHO FOOD SINGAPORE PTE. LTD.,3700,2600,Monthly,0,Closed,Management Trainee / Assistant Manager
"[{""id"":1,""category"":""Accounting / Auditing / Taxation""},{""id"":2,""category"":""Admin / Secretarial""}]",Full Time,8/5/2023,FALSE,MCF-2023-0274356,8/4/2023,8/4/2023,0,9,161,1,1,,Fresh/entry level,E.BANK.COM PTE. LTD.,2500,2200,Monthly,0,Closed,Account Assistant
"[{""id"":10,""category"":""Education and Training""}]",Full Time,22/4/2023,TRUE,MCF-2023-0274369,8/4/2023,8/4/2023,0,0,28,1,2,,Non-executive,THE MORAL CHILDCARE CENTRE,3600,2200,Monthly,0,Closed,Trained Childcare Teacher (Chinese & English)
"[{""id"":2,""category"":""Admin / Secretarial""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274338,8/4/2023,8/4/2023,0,11,156,0,1,,Junior Executive,CURTAINMISE CO. PTE. LTD.,2800,2000,Monthly,0,Closed,Admin Executive
"[{""id"":1,""category"":""Accounting / Auditing / Taxation""},{""id"":2,""category"":""Admin / Secretarial""}]",Full Time,8/6/2023,FALSE,MCF-2023-0186075,9/5/2023,8/3/2023,2,17,486,1,1,,Junior Executive,STARLIGHT & PARTNERS PTE. LTD.,3800,2800,Monthly,0,Closed,Accounts cum Admin
"[{""id"":26,""category"":""Marketing / Public Relations""}]",Permanent,15/4/2023,FALSE,MCF-2023-0274091,8/4/2023,8/4/2023,0,4,48,3,1,,Executive,RECRUITPEDIA PTE. LTD.,4200,3500,Monthly,0,Closed,Marketing Specialist (Research & Education)
"[{""id"":11,""category"":""Engineering""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274354,8/4/2023,8/4/2023,0,4,89,1,1,,Non-executive,COSMOS RECRUIT PTE. LTD.,4000,3000,Monthly,0,Closed,Field Service Technician (Up to $4k/ West)
"[{""id"":11,""category"":""Engineering""}]",Full Time,22/4/2023,FALSE,MCF-2023-0091882,8/4/2023,6/2/2023,2,13,233,2,1,,Executive,CIS-TRONICS PTE LTD,4000,3000,Monthly,0,Closed,Project/ Service Engineer
"[{""id"":11,""category"":""Engineering""},{""id"":21,""category"":""Information Technology""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274365,8/4/2023,8/4/2023,0,33,170,2,1,,Executive,COSMOS RECRUIT PTE. LTD.,5000,3500,Monthly,0,Closed,Cyber Security Engineer
"[{""id"":21,""category"":""Information Technology""}]",Full Time,8/5/2023,FALSE,MCF-2023-0274330,8/4/2023,8/4/2023,0,21,178,4,10,,Senior Management,DOITWELL PTE. LTD.,15000,10000,Monthly,0,Closed,Principal Big Data Engineer
"[{""id"":11,""category"":""Engineering""}]",Permanent,25/4/2023,FALSE,MCF-2023-0244746,18/4/2023,28/3/2023,2,13,129,0,7,,Fresh/entry level,ATOMRECRUIT PTE. LTD.,3000,2400,Monthly,0,Closed,"Assistant Engineer x7 (Start pay-$2400, No experience/fresh welcome)"
"[{""id"":8,""category"":""Customer Service""},{""id"":16,""category"":""General Management""},{""id"":24,""category"":""Logistics / Supply Chain""},{""id"":25,""category"":""Manufacturing""}]",Permanent,22/4/2023,FALSE,MCF-2023-0165063,8/4/2023,1/3/2023,2,10,98,1,2,,Junior Executive,RECRUITFLASH PTE. LTD.,3800,2800,Monthly,0,Closed,Spare Parts Advisor / Car Parts Coordinator ( Junior / Entry level )
"[{""id"":11,""category"":""Engineering""},{""id"":21,""category"":""Information Technology""},{""id"":25,""category"":""Manufacturing""},{""id"":31,""category"":""Purchasing / Merchandising""},{""id"":41,""category"":""Others""}]",Permanent,22/4/2023,FALSE,MCF-2023-0057601,8/4/2023,20/1/2023,2,23,142,1,2,,Junior Executive,RECRUITFLASH PTE. LTD.,8000,5000,Monthly,0,Closed,Cyber Security Engineer  – Smart Grid & Metering
"[{""id"":15,""category"":""F&B""},{""id"":26,""category"":""Marketing / Public Relations""},{""id"":35,""category"":""Sales / Retail""}]",Full Time,8/5/2023,FALSE,MCF-2023-0274204,8/4/2023,8/4/2023,0,3,35,3,1,,Senior Executive,RECRUITPEDIA PTE. LTD.,4600,3500,Monthly,0,Closed,Senior Marketing Executive (F&B) / East / Global MNC
"[{""id"":1,""category"":""Accounting / Auditing / Taxation""},{""id"":5,""category"":""Banking and Finance""},{""id"":7,""category"":""Consulting""}]",Permanent,13/5/2023,FALSE,MCF-2023-0242099,22/4/2023,28/3/2023,2,25,378,3,1,,Executive,ATOMRECRUIT PTE. LTD.,5000,4000,Monthly,0,Closed,Finance Executive
"[{""id"":8,""category"":""Customer Service""},{""id"":15,""category"":""F&B""},{""id"":26,""category"":""Marketing / Public Relations""}]",Full Time,8/5/2023,FALSE,MCF-2023-0274307,8/4/2023,8/4/2023,0,8,122,1,3,,Fresh/entry level,TIN BOX GROUP SINGAPORE PTE. LTD.,5000,3000,Monthly,0,Closed,GUEST RELATIONS
"[{""id"":25,""category"":""Manufacturing""},{""id"":35,""category"":""Sales / Retail""}]",Permanent,3/6/2023,FALSE,MCF-2023-0274316,20/5/2023,8/4/2023,2,15,102,1,1,,Junior Executive,ATOMRECRUIT PTE. LTD.,5000,3500,Monthly,0,Closed,Sale Engineer (Serve existing Customers)
"[{""id"":18,""category"":""Healthcare / Pharmaceutical""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274327,8/4/2023,8/4/2023,0,0,26,3,1,,Professional,THE TALENT NETWORK PRIVATE LIMITED,5000,4800,Monthly,0,Closed,"Physiotherapist ( Welfare Organisation) - Up to $ 5,000.00 + AWS + VB / Island-wide area - 2 openings"
"[{""id"":21,""category"":""Information Technology""},{""id"":37,""category"":""Security and Investigation""}]",Contract,8/5/2023,FALSE,MCF-2023-0274300,8/4/2023,8/4/2023,0,17,258,3,1,,Senior Executive,SGCM PTE. LTD.,6000,4000,Monthly,0,Closed,Cyber Security Engineer (Penetration Tester / Vulnerability Assessment / Web / Network) - 1-Year Contract – Renewable
"[{""id"":8,""category"":""Customer Service""},{""id"":16,""category"":""General Management""},{""id"":24,""category"":""Logistics / Supply Chain""},{""id"":25,""category"":""Manufacturing""}]",Permanent,22/4/2023,FALSE,MCF-2023-0165068,8/4/2023,1/3/2023,2,6,69,1,2,,Junior Executive,RECRUITFLASH PTE. LTD.,3800,2800,Monthly,0,Closed,LOGISTIC EXECUTIVES / Logistic Coordinator (Warehouse Customer service )
"[{""id"":10,""category"":""Education and Training""}]",Full Time,8/5/2023,FALSE,MCF-2023-0051168,8/4/2023,19/1/2023,2,4,168,3,1,,Professional,MUSIC LIFESTYLE ACADEMY LLP,3000,3000,Monthly,0,Closed,Piano Teacher Singapore
"[{""id"":8,""category"":""Customer Service""}]",Full Time,19/5/2023,FALSE,MCF-2023-0232894,5/5/2023,24/3/2023,2,6,73,1,1,,Professional,JJ CONSULTING SERVICES,2300,1900,Monthly,0,Closed,Customer Service Officer (Office Hours/ Ang Mo Kio)
"[{""id"":6,""category"":""Building and Construction""}]",Contract,8/5/2023,FALSE,MCF-2023-0274289,8/4/2023,8/4/2023,0,5,55,1,1,,Junior Executive,STAFFLINK SERVICES PRIVATE LIMITED,3800,3000,Monthly,0,Closed,Outsource Site Coordinator (Onsite / Solar)
"[{""id"":6,""category"":""Building and Construction""}]",Full Time,8/5/2023,FALSE,MCF-2023-0274305,8/4/2023,8/4/2023,0,0,96,4,1,,Executive,KAO LEE ALUMINIUM INDUSTRIAL PTE. LTD.,3400,2900,Monthly,0,Closed,Architectural Draughtsman
"[{""id"":2,""category"":""Admin / Secretarial""},{""id"":24,""category"":""Logistics / Supply Chain""}]",Permanent,22/4/2023,FALSE,MCF-2023-0274323,8/4/2023,8/4/2023,0,5,82,1,1,,Junior Executive,ATOMRECRUIT PTE. LTD.,2200,2000,Monthly,0,Closed,"Store Admin (Chai Chee, 5 days, $2200)"
"[{""id"":10,""category"":""Education and Training""}]",Contract,22/7/2023,FALSE,MCF-2023-0274357,22/6/2023,8/4/2023,2,1,64,3,3,,Professional,SUPERGENIUS PRESCHOOL HBB PTE. LTD.,3800,2600,Monthly,0,Re-open,Chinese Preschool Educators
"[{""id"":11,""category"":""Engineering""},{""id"":25,""category"":""Manufacturing""}]",Permanent,26/4/2023,FALSE,MCF-2023-0242103,19/4/2023,28/3/2023,2,22,161,0,4,,Fresh/entry level,ATOMRECRUIT PTE. LTD.,3300,2900,Monthly,0,Closed,"Service Engineer (Fresh/No experience welcome, $3300 Up)"
"[{""id"":11,""category"":""Engineering""},{""id"":25,""category"":""Manufacturing""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274309,8/4/2023,8/4/2023,0,3,29,5,1,,Manager,ATOMRECRUIT PTE. LTD.,7500,6000,Monthly,0,Closed,"Engineering Manager (Hybrid, Up $7500, Woodlands)"
"[{""id"":15,""category"":""F&B""}]",Contract,8/5/2023,FALSE,MCF-2023-0274376,8/4/2023,8/4/2023,0,2,77,1,15,,Non-executive,ZENSHO JAPANESE RESTAURANT COMPANY PTE. LTD.,2600,1900,Monthly,0,Closed,Commis Cook - Ichikokudo Ramen Restaurant (Halal) 5 DAYS WORK
"[{""id"":15,""category"":""F&B""}]",Part Time,8/5/2023,FALSE,MCF-2023-0274368,8/4/2023,8/4/2023,0,1,41,2,2,,Executive,UNDER DER LINDEN PTE. LTD.,2800,2000,Monthly,0,Closed,Cafe Crew/ One North / 5 days
"[{""id"":24,""category"":""Logistics / Supply Chain""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274384,8/4/2023,8/4/2023,0,13,109,1,1,,Executive,PEOPLE PROFILERS PTE. LTD.,3700,2800,Monthly,0,Closed,WAREHOUSE ASSISTANT – $3.5K + AWS + at least 3 months VB/ 5 day/ MNC
"[{""id"":7,""category"":""Consulting""},{""id"":28,""category"":""Personal Care / Beauty""},{""id"":35,""category"":""Sales / Retail""},{""id"":41,""category"":""Others""}]",Full Time,8/5/2023,FALSE,MCF-2023-0274334,8/4/2023,8/4/2023,0,0,25,1,2,,Fresh/entry level,LE COIFFURE CORNER PTE. LTD.,3500,3000,Monthly,0,Closed,Hairstylist
"[{""id"":27,""category"":""Medical / Therapy Services""},{""id"":28,""category"":""Personal Care / Beauty""}]",Part Time,8/5/2023,FALSE,MCF-2022-0833918,8/4/2023,27/10/2022,1,2,88,2,5,,Fresh/entry level,BEAUTY VALLEY PTE. LTD.,4000,3000,Monthly,0,Closed,SPA THERAPIST (Chinatown/Full-time/Part-time)
"[{""id"":16,""category"":""General Management""}]",Full Time,16/7/2023,FALSE,MCF-2023-0274371,16/6/2023,8/4/2023,1,84,414,2,5,,Manager,CEREZA PTE. LTD.,4000,2600,Monthly,0,Re-open,Dormitory Manager
"[{""id"":21,""category"":""Information Technology""}]",Permanent,29/4/2023,FALSE,MCF-2023-0274399,8/4/2023,8/4/2023,0,20,111,8,1,,Manager,TRITON AI PTE. LTD.,12000,8000,Monthly,0,Closed,"IT Project Manager (Turnkey, Healthcare Client)"
"[{""id"":10,""category"":""Education and Training""}]",Full Time,8/5/2023,FALSE,MCF-2023-0274398,8/4/2023,8/4/2023,0,0,6,3,1,,Executive,MY LITTLE GEMS PRIVATE LIMITED,4000,3000,Monthly,0,Closed,幼教师  Chinese Preschool Teacher
"[{""id"":11,""category"":""Engineering""}]",Permanent,8/6/2023,FALSE,MCF-2023-0153771,9/5/2023,25/2/2023,2,33,350,5,1,,Manager,SINGAPORE POST LIMITED,8000,7000,Monthly,0,Closed,"Project Manager, Postpal"
"[{""id"":21,""category"":""Information Technology""}]",Contract,22/4/2023,FALSE,MCF-2023-0274402,8/4/2023,8/4/2023,0,0,80,10,7,,Professional,TECHNOPALS PTE. LTD.,14500,7500,Monthly,0,Closed,SAS Viya/ VA Developer
"[{""id"":15,""category"":""F&B""}]",Contract,29/4/2023,FALSE,MCF-2023-0274400,8/4/2023,8/4/2023,0,1,53,0,1,,Fresh/entry level,ABURIYA PTE. LTD.,2800,2000,Monthly,0,Closed,Service Crew
"[{""id"":15,""category"":""F&B""}]",Full Time,8/5/2023,TRUE,MCF-2023-0274422,8/4/2023,8/4/2023,0,0,28,1,1,,Executive,ZUBAO BUSINESS PTE. LTD.,2700,2300,Monthly,0,Closed,Chef
"[{""id"":1,""category"":""Accounting / Auditing / Taxation""}]",Contract,8/5/2023,FALSE,MCF-2023-0274339,8/4/2023,8/4/2023,0,1,52,1,1,,Executive,ADECCO PERSONNEL PTE LTD,5000,4000,Monthly,0,Closed,"Tax Accountant @ East (Up to $6,000/ Hybrid)"
"[{""id"":10,""category"":""Education and Training""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274424,8/4/2023,8/4/2023,0,6,133,1,1,,Manager,SINGAPORE EDUSMART LEARNING HUB PTE. LTD.,3000,2500,Monthly,0,Closed,KCare Supervisor Trainee (Sembawang/Yishun area)#SGUnitedJobs
"[{""id"":1,""category"":""Accounting / Auditing / Taxation""}]",Full Time,8/5/2023,FALSE,MCF-2023-0274352,8/4/2023,8/4/2023,0,0,74,0,3,,Fresh/entry level,KMC & PARTNERS LLP,2800,2400,Monthly,0,Closed,Audit Associate
"[{""id"":18,""category"":""Healthcare / Pharmaceutical""},{""id"":38,""category"":""Social Services""},{""id"":41,""category"":""Others""}]",Part Time,9/7/2023,FALSE,MCF-2023-0163030,9/6/2023,1/3/2023,2,27,557,2,1,,Executive,ST LUKE'S HOSPITAL,5000,3500,Monthly,0,Re-open,Chaplain / Pastoral Counsellor (Part-time)
"[{""id"":2,""category"":""Admin / Secretarial""}]",Part Time,8/5/2023,FALSE,MCF-2023-0274346,8/4/2023,8/4/2023,0,66,911,0,1,,Fresh/entry level,KMC & PARTNERS LLP,1500,1200,Monthly,0,Closed,Administrative Assistant - Part-Time
"[{""id"":6,""category"":""Building and Construction""},{""id"":11,""category"":""Engineering""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274407,8/4/2023,8/4/2023,0,2,55,2,2,,Executive,SEARCH PERSONNEL PRIVATE LIMITED,6000,4000,Monthly,0,Closed,M&E Coordinator/Engineer (Construction / 6 Days / Up to $6000)
"[{""id"":24,""category"":""Logistics / Supply Chain""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274382,8/4/2023,8/4/2023,0,12,117,1,1,,Executive,PEOPLE PROFILERS PTE. LTD.,3700,2900,Monthly,0,Closed,LOGISTICS ASSISTANT – $3.5K + AWS + at least 3 months VB/ 5 day/ MNC
"[{""id"":8,""category"":""Customer Service""},{""id"":18,""category"":""Healthcare / Pharmaceutical""},{""id"":27,""category"":""Medical / Therapy Services""},{""id"":28,""category"":""Personal Care / Beauty""},{""id"":35,""category"":""Sales / Retail""}]",Full Time,8/5/2023,FALSE,MCF-2023-0274337,8/4/2023,8/4/2023,0,3,66,2,4,,Non-executive,CAL CONCEPT & LIFESTYLE PTE. LTD.,12000,4000,Monthly,0,Closed,Beauty Sales Consultant
"[{""id"":10,""category"":""Education and Training""},{""id"":21,""category"":""Information Technology""}]",Full Time,8/5/2023,FALSE,MCF-2023-0274418,8/4/2023,8/4/2023,0,4,97,2,1,,Professional,LEMON3,5000,4000,Monthly,0,Closed,Business Development Manager
"[{""id"":10,""category"":""Education and Training""}]",Permanent,8/5/2023,FALSE,MCF-2022-0951258,8/4/2023,4/12/2022,1,4,103,0,3,,Executive,SINGAPORE EDUSMART LEARNING HUB PTE. LTD.,2800,1800,Monthly,0,Closed,KCare Senior Teacher (Bedok/Pasir Ris/Marine Parade area)#SGUnitedJobs
"[{""id"":6,""category"":""Building and Construction""},{""id"":8,""category"":""Customer Service""},{""id"":16,""category"":""General Management""},{""id"":17,""category"":""General Work""},{""id"":41,""category"":""Others""}]",Full Time,8/5/2023,FALSE,MCF-2023-0274401,8/4/2023,8/4/2023,0,2,65,10,1,,Non-executive,STAR GREEN ENGINEERING & LANDSCAPE PTE. LTD.,4500,4000,Monthly,0,Closed,Crane Lorry Operator Cum Site Coordinator
"[{""id"":26,""category"":""Marketing / Public Relations""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274098,8/4/2023,8/4/2023,0,1,39,2,1,,Junior Executive,RECRUITPEDIA PTE. LTD.,4500,3500,Monthly,0,Closed,Product Marketing Specialist (Insurance MNC) / Town
"[{""id"":1,""category"":""Accounting / Auditing / Taxation""},{""id"":5,""category"":""Banking and Finance""}]",Permanent,15/4/2023,FALSE,MCF-2023-0274099,8/4/2023,8/4/2023,0,1,40,3,1,,Executive,RECRUITPEDIA PTE. LTD.,4800,4500,Monthly,0,Closed,Trade Finance (Letter of Credit) / Oil & Gas MNC
"[{""id"":35,""category"":""Sales / Retail""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274411,8/4/2023,8/4/2023,0,0,27,1,3,,Junior Executive,TRUST RECRUIT PTE. LTD.,3100,2500,Monthly,0,Closed,Business Development/ Sales Executive (East/ Client Management/ Branding company) Up to 3K+ AWS + VB + Comm CSY
"[{""id"":7,""category"":""Consulting""},{""id"":29,""category"":""Professional Services""},{""id"":41,""category"":""Others""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274427,8/4/2023,8/4/2023,0,2,50,2,1,,Executive,COSMOS RECRUIT PTE. LTD.,4000,3000,Monthly,0,Closed,Planning Executive
"[{""id"":35,""category"":""Sales / Retail""}]",Permanent,15/4/2023,FALSE,MCF-2023-0274107,8/4/2023,8/4/2023,0,3,61,6,1,,Manager,RECRUITPEDIA PTE. LTD.,9000,7000,Monthly,0,Closed,Retail Manager (Operation)/Luxury Retail MNC/Central
"[{""id"":2,""category"":""Admin / Secretarial""},{""id"":18,""category"":""Healthcare / Pharmaceutical""}]",Contract,8/5/2023,FALSE,MCF-2023-0274343,8/4/2023,8/4/2023,0,12,152,1,5,,Fresh/entry level,ADECCO PERSONNEL PTE LTD,3500,3000,Monthly,0,Closed,"Healthcare Admin/ Ops Support (Up to $3,500/ No Exp Ok!)"
"[{""id"":8,""category"":""Customer Service""},{""id"":15,""category"":""F&B""},{""id"":26,""category"":""Marketing / Public Relations""},{""id"":35,""category"":""Sales / Retail""},{""id"":42,""category"":""Wholesale Trade""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274417,8/4/2023,8/4/2023,0,24,117,3,1,,Manager,COSMOS RECRUIT PTE. LTD.,5000,4000,Monthly,0,Closed,Sales Manager (High Comms/ FMCG)
"[{""id"":35,""category"":""Sales / Retail""}]",Permanent,8/5/2023,FALSE,MCF-2023-0015005,8/4/2023,6/1/2023,2,27,438,5,1,,Senior Executive,SINGAPORE POST LIMITED,3500,2800,Monthly,0,Closed,"Senior Executive, Sales Support"
"[{""id"":1,""category"":""Accounting / Auditing / Taxation""}]",Permanent,27/6/2023,FALSE,MCF-2023-0274419,28/5/2023,8/4/2023,1,5,128,1,1,,Junior Executive,LINKEDCORP HR CONSULTANCY PTE. LTD.,2800,2200,Monthly,0,Closed,Accounts cum Admin Executive [East / Autocount / AP / AR]
